customer_id,registration_date,age,gender,country,city,membership_tier,preferred_device,preferred_payment,total_sessions,avg_session_duration_minutes,total_page_views,product_views,search_queries,wishlist_items,cart_additions,cart_abandonments,total_orders,total_items_purchased,total_revenue,avg_order_value,largest_order_value,days_since_last_purchase,purchase_frequency_days,favorite_category,categories_browsed,categories_purchased,email_opens,email_clicks,newsletter_subscriber,push_notifications_enabled,social_media_referrals,referral_code_used,reviews_written,avg_review_rating,support_tickets,returns_requested,refund_amount,bounce_rate,conversion_rate,cart_abandonment_rate,customer_lifetime_value,churn_risk_score,engagement_score
11,2023-11-19,41,Male,United States,New York,Gold,Desktop,Digital Wallet,400,7.0,2600,600,95,18,60,15,11,34,4100.0,372.73,980.0,9,7.5,Electronics,11,6,110,22,True,True,20,True,15,4.7,1,1,75.0,33.0,3.9,11.5,9800.0,15.5,90.0
12,2022-12-01,35,Female,Canada,Vancouver,Silver,Mixed,PayPal,260,6.3,1500,320,40,6,22,7,4,12,860.0,215.0,300.0,28,12.0,Fashion,6,3,48,7,True,True,7,False,6,4.1,0,0,0.0,41.0,2.9,10.0,2600.0,12.0,70.0
13,2024-01-08,27,Female,Australia,Melbourne,Bronze,Mobile,Credit Card,140,5.0,720,160,12,2,14,3,3,8,420.0,140.0,200.0,75,22.0,Food & Beverages,4,2,28,6,False,False,3,False,2,3.9,0,0,0.0,46.0,2.3,7.5,1000.0,10.0,58.0
14,2023-06-30,54,Male,United States,Chicago,Gold,Desktop,Debit Card,340,8.0,2100,500,90,19,45,13,10,28,2600.0,260.0,700.0,18,8.0,Home & Garden,9,5,90,18,True,True,10,True,11,4.5,2,1,75.0,36.0,3.5,12.0,7500.0,19.0,85.0
15,2023-02-14,38,Male,Japan,Tokyo,Silver,Mixed,Digital Wallet,260,6.7,1500,340,48,8,26,6,5,15,1500.0,300.0,420.0,35,11.0,Electronics,8,3,60,12,True,True,6,False,7,4.2,0,0,0.0,39.0,3.0,9.0,3200.0,16.0,72.0
16,2022-09-05,29,Female,Sweden,Stockholm,Bronze,Mobile,Credit Card,180,5.6,940,210,19,3,21,6,3,9,520.0,173.33,240.0,52,14.0,Beauty & Health,5,2,30,6,False,False,2,False,2,4.0,0,0,0.0,48.0,2.2,10.0,900.0,7.0,55.0
17,2024-07-21,23,Non-binary,New Zealand,Auckland,None,Mobile,Digital Wallet,60,3.5,260,60,6,0,6,2,1,2,80.0,80.0,80.0,180,60.0,Toys & Games,2,1,10,2,False,False,1,False,0,0.0,0,0,0.0,70.0,1.0,15.0,120.0,5.0,30.0
18,2023-12-03,36,Male,Brazil,Sao Paulo,Silver,Desktop,Credit Card,320,7.4,2100,480,70,11,42,13,9,28,2900.0,322.22,900.0,16,9.0,Electronics,12,6,96,19,True,True,12,True,10,4.6,1,0,0.0,32.0,3.7,11.5,8800.0,14.0,88.0
19,2022-04-11,44,Female,Mexico,Mexico City,Gold,Mobile,PayPal,380,6.8,2500,650,110,20,55,18,15,42,6200.0,413.33,1200.0,7,6.0,Electronics,14,7,140,28,True,True,25,True,18,4.8,2,2,180.0,28.0,4.0,10.5,15000.0,11.0,92.0
20,2023-08-19,32,Male,Singapore,Singapore,Silver,Mobile,Debit Card,200,6.2,1100,240,34,5,22,5,4,14,900.0,225.0,350.0,33,12.0,Books & Media,6,3,35,7,False,True,4,False,3,4.0,0,0,0.0,41.0,3.2,9.0,1800.0,9.0,66.0
21,2022-03-15,28,Male,United States,San Francisco,Gold,Mobile,Credit Card,240,12.5,3200,1100,150,18,62,9,6,14,845.75,140.96,320.0,12,18.5,Electronics,9,4,28,9,True,True,6,False,3,4.5,1,0,0.0,33.5,2.8,14.2,1200.0,22.5,78.0
22,2023-11-02,35,Female,Canada,Toronto,Silver,Desktop,PayPal,310,9.8,4100,1500,210,25,80,12,8,22,1960.0,245.0,520.0,5,12.0,Fashion,11,5,42,16,True,False,8,True,5,4.2,0,1,45.0,28.0,3.5,10.0,2100.0,18.0,82.0
23,2022-08-19,42,Non-binary,United Kingdom,London,Gold,Mixed,Digital Wallet,520,11.2,7800,2600,300,40,120,22,14,38,4720.5,337.18,980.0,20,9.0,Home & Garden,13,7,65,24,True,True,15,True,8,4.7,2,2,120.0,29.5,4.1,12.5,5200.0,14.0,91.0
24,2024-02-10,29,Female,Australia,Sydney,Bronze,Mobile,Debit Card,180,7.4,2100,850,95,12,40,8,4,9,980.0,245.0,350.0,15,24.0,Sports & Outdoors,7,3,22,7,False,True,4,False,2,4.0,1,0,0.0,31.0,2.2,8.0,1250.0,26.0,70.0
25,2022-12-01,31,Male,Germany,Berlin,Silver,Tablet,Bank Transfer,260,10.1,3400,1200,140,20,55,10,7,16,1840.0,262.86,750.0,7,16.0,Electronics,10,5,40,15,True,False,9,True,4,4.3,0,0,0.0,27.5,3.1,11.0,2400.0,19.0,79.0
26,2023-03-22,38,Male,France,Paris,Gold,Desktop,PayPal,410,13.2,6100,2100,260,30,90,18,12,30,5150.75,429.23,1200.0,3,8.0,Fashion,12,6,70,26,True,True,20,True,9,4.6,1,1,80.0,26.0,4.8,9.5,7800.0,12.0,88.0
27,2024-05-18,27,Female,Spain,Madrid,Bronze,Mobile,Credit Card,150,6.5,1700,620,60,5,25,5,3,7,520.0,173.33,220.0,40,70.0,Books & Media,6,2,18,4,False,False,3,False,1,4.0,0,0,0.0,33.5,2.0,6.5,600.0,28.0,65.0
28,2023-07-11,45,Male,Italy,Milan,Platinum,Desktop,Digital Wallet,520,14.7,9000,3200,420,50,130,25,20,60,19800.0,990.0,2600.0,2,5.0,Electronics,14,9,90,40,True,True,25,True,15,4.8,3,2,220.0,25.0,6.0,9.0,26000.0,8.0,97.0
29,2022-06-30,52,Male,United States,New York,Gold,Mobile,Credit Card,700,8.9,10000,4200,520,65,150,30,22,68,32000.0,1454.55,3500.0,3,4.0,Home & Garden,15,9,120,50,True,True,40,True,25,4.9,4,3,360.0,22.0,5.2,7.5,54000.0,10.0,99.0
30,2025-01-05,23,Female,Canada,Vancouver,Bronze,Mobile,Digital Wallet,120,5.6,900,380,40,3,15,4,2,4,420.0,210.0,180.0,60,90.0,Toys & Games,5,2,12,3,False,False,2,False,0,0.0,0,0,0.0,40.0,1.5,18.0,300.0,40.0,50.0
31,2023-09-08,33,Female,United States,Chicago,Silver,Mobile,Debit Card,290,9.2,3500,1200,170,22,60,11,5,15,2100.0,420.0,700.0,9,13.0,Books & Media,8,4,34,12,True,False,6,True,6,4.4,1,1,25.0,29.0,3.2,9.0,3400.0,21.0,78.0
32,2022-04-28,40,Male,Netherlands,Amsterdam,Gold,Desktop,Credit Card,460,12.0,6000,2100,230,28,75,15,11,28,3900.0,354.55,900.0,14,7.0,Electronics,12,6,55,20,True,True,14,True,7,4.5,2,0,0.0,26.5,4.0,7.0,6200.0,16.0,86.0
33,2023-12-20,26,Female,Japan,Tokyo,Bronze,Mobile,Buy Now Pay Later,200,6.9,1800,760,85,10,22,6,3,8,760.0,253.33,320.0,25,30.0,Food & Beverages,6,3,20,5,False,True,5,False,2,4.1,0,0,0.0,34.0,2.5,12.0,900.0,32.0,60.0
34,2024-08-03,39,Male,Brazil,Sao Paulo,Silver,Mixed,Credit Card,350,10.8,5200,1900,210,26,70,9,9,21,2900.0,322.22,980.0,11,14.0,Home & Garden,11,5,48,18,True,True,12,True,6,4.2,1,0,0.0,27.0,3.8,10.0,4200.0,17.0,85.0
35,2022-09-09,34,Female,Australia,Melbourne,Gold,Desktop,PayPal,480,11.6,7200,2600,290,42,110,20,13,34,6100.0,469.23,1500.0,6,9.0,Electronics,13,7,72,26,True,True,18,True,11,4.7,2,1,75.0,24.0,4.5,9.0,9000.0,13.0,89.0
36,2023-01-14,41,Male,United States,Los Angeles,Platinum,Mobile,Digital Wallet,640,13.0,8600,3200,340,55,140,26,18,48,28750.0,1602.78,3200.0,4,5.0,Electronics,16,9,110,40,True,True,50,True,20,4.8,5,2,220.0,21.0,6.5,8.0,42000.0,9.0,98.0
37,2022-07-21,29,Female,United States,Seattle,Bronze,Mobile,Debit Card,210,8.0,1900,700,75,6,18,3,2,5,450.0,225.0,260.0,28,45.0,Toys & Games,4,2,16,4,False,False,3,False,0,0.0,1,0,0.0,38.0,1.5,4.0,300.0,45.0,55.0
38,2025-04-12,22,Non-binary,India,Mumbai,None,Mobile,Buy Now Pay Later,90,4.5,800,320,25,2,8,2,1,3,180.0,180.0,180.0,90,60.0,Books & Media,4,1,8,2,False,False,1,False,0,0.0,0,0,0.0,42.0,1.0,10.0,150.0,60.0,43.0
39,2023-10-02,36,Male,Mexico,Mexico City,Silver,Desktop,Credit Card,300,9.5,4500,1700,190,24,56,9,7,20,2600.0,371.43,980.0,18,12.0,Home & Garden,10,4,50,20,True,True,11,False,3,4.3,0,0,0.0,29.0,3.0,9.0,3100.0,21.0,75.0
40,2024-03-29,33,Female,United States,Austin,Silver,Mobile,Debit Card,270,9.0,3600,1400,155,17,48,9,6,15,1980.0,330.0,750.0,10,14.0,Fashion,9,4,38,14,True,True,7,True,4,4.4,0,0,0.0,27.0,3.6,9.5,5200.0,17.0,84.0
41,2022-03-15,28,Female,United States,San Francisco,Silver,Mobile,Credit Card,312,8.6,1840,540,120,15,72,14,6,12,980.5,163.42,320.0,34,15.2,Electronics,9,4,120,40,True,True,6,False,3,4.5,1,0,0.0,22.5,2.5,9.0,1500.0,22.0,68.0
42,2023-07-22,35,Male,Canada,Toronto,Gold,Desktop,PayPal,540,12.1,3200,980,210,22,110,28,12,28,4210.75,350.9,980.0,12,13.5,Home & Garden,12,6,210,70,True,False,14,True,9,4.2,2,1,45.0,18.0,3.1,11.0,8200.0,18.0,74.0
43,2024-02-11,42,Non-binary,United Kingdom,London,Platinum,Mixed,Digital Wallet,890,9.5,5100,1500,310,38,150,35,20,55,15250.0,762.5,2100.0,7,9.0,Electronics,14,8,350,120,True,True,28,True,15,4.7,3,2,120.0,16.5,4.2,10.0,20500.0,12.0,82.0
44,2022-12-05,29,Female,Australia,Sydney,Gold,Mobile,Debit Card,410,7.2,2100,640,95,10,60,9,8,18,3760.4,470.05,720.0,21,17.8,Fashion,8,5,180,50,False,True,10,False,6,4.0,0,1,25.0,20.0,2.8,7.5,3200.0,25.0,60.0
45,2023-10-09,31,Male,Germany,Berlin,Silver,Desktop,Credit Card,670,11.3,3600,980,180,28,95,20,15,38,8800.6,587.37,1500.0,5,10.1,Home & Garden,11,7,260,85,True,True,22,True,11,4.3,1,0,0.0,15.0,3.4,9.0,12500.0,15.0,77.0
46,2022-08-19,27,Female,France,Paris,Bronze,Mobile,PayPal,230,6.8,980,320,60,5,40,8,4,9,2100.25,525.06,900.0,60,25.4,Books & Media,7,3,90,25,False,False,5,False,2,4.1,0,0,0.0,24.0,1.9,12.0,2400.0,30.0,52.0
47,2024-05-21,38,Male,Italy,Milan,Silver,Mixed,Buy Now Pay Later,520,9.0,2600,720,150,20,88,18,11,26,6400.1,581.83,1200.0,9,12.3,Electronics,10,5,210,65,True,True,16,False,7,4.2,1,0,0.0,19.0,3.0,8.5,8200.0,20.0,70.0
48,2023-03-03,26,Female,Spain,Madrid,Bronze,Mobile,Debit Card,290,5.5,1200,410,50,6,34,7,5,11,1900.75,380.15,600.0,45,18.4,Toys & Games,6,3,70,18,False,False,4,False,1,3.8,0,0,0.0,28.0,2.2,6.0,1900.0,28.0,58.0
49,2022-11-11,45,Male,Netherlands,Amsterdam,Gold,Desktop,Credit Card,760,13.2,4200,1280,260,40,130,30,22,60,23650.75,1075.94,2600.0,3,7.8,Home & Garden,15,9,390,140,True,True,40,True,20,4.6,4,2,180.0,14.0,4.0,10.0,23000.0,12.0,86.0
50,2025-01-08,22,Female,United States,Austin,Bronze,Mobile,Digital Wallet,180,4.2,480,150,20,3,22,5,2,5,520.0,260.0,260.0,90,45.0,Beauty & Health,5,2,60,15,False,False,2,False,0,0.0,0,0,0.0,35.0,1.0,18.0,1500.0,60.0,40.0
51,2023-06-30,33,Male,United States,New York,Silver,Tablet,Bank Transfer,480,10.1,2900,820,170,16,70,12,9,21,11050.9,1227.88,2100.0,15,11.0,Electronics,9,5,240,72,True,True,18,True,6,4.4,2,1,65.0,19.0,2.9,9.5,9800.0,19.0,70.0
52,2024-07-14,39,Female,United States,Seattle,Gold,Desktop,Credit Card,610,11.8,3500,960,210,25,90,22,14,34,15600.4,1114.32,2100.0,18,9.5,Sports & Outdoors,13,6,320,110,True,True,25,True,12,4.5,1,0,0.0,17.0,3.2,8.0,14050.0,16.0,79.0
53,2022-04-18,52,Male,United States,Chicago,Gold,Mobile,Credit Card,1020,14.0,5200,1500,400,50,180,40,25,70,42000.0,1680.0,3200.0,5,7.0,Electronics,15,9,520,180,True,True,55,True,28,4.7,5,3,320.0,13.0,4.4,9.0,42000.0,10.0,92.0
54,2023-09-02,29,Female,United States,Denver,Silver,Mobile,Digital Wallet,390,7.9,1800,520,90,12,55,11,9,20,5200.8,577.87,1100.0,30,12.3,Books & Media,8,4,160,40,True,False,9,False,5,4.1,0,1,25.0,21.0,2.5,7.0,4300.0,26.0,64.0
55,2024-01-25,34,Male,Australia,Melbourne,Platinum,Mixed,Bank Transfer,980,13.5,5200,1500,320,40,140,25,22,52,16800.0,763.64,1900.0,11,8.2,Home & Garden,14,9,420,150,True,True,32,True,18,4.6,2,0,0.0,16.0,3.6,9.5,21000.0,14.0,81.0
56,2022-09-09,46,Female,United States,Los Angeles,Gold,Desktop,PayPal,760,10.8,4200,1200,230,29,110,25,19,44,19000.6,1000.03,2500.0,4,6.5,Electronics,12,7,480,160,True,True,50,True,14,4.4,3,2,150.0,15.0,3.8,8.0,26000.0,17.0,85.0
57,2023-12-12,23,Female,Japan,Tokyo,Bronze,Mobile,Credit Card,260,5.9,920,310,40,4,28,6,3,7,980.4,326.8,500.0,70,35.0,Toys & Games,6,3,120,32,False,False,3,False,2,4.0,0,0,0.0,26.0,2.0,7.0,1500.0,40.0,52.0
58,2024-03-28,40,Male,Brazil,Sao Paulo,Silver,Desktop,Debit Card,700,9.9,3400,900,190,28,86,19,16,39,9800.25,612.52,1500.0,14,8.0,Fashion,9,5,300,90,True,False,15,True,9,4.1,1,0,0.0,18.0,3.0,8.0,9800.0,22.0,66.0
59,2023-08-08,37,Male,Canada,Vancouver,Gold,Mobile,Credit Card,520,10.2,2900,780,140,18,60,15,13,31,9800.0,753.85,1800.0,22,9.2,Sports & Outdoors,11,6,260,88,True,True,20,False,7,4.3,2,1,50.0,17.0,3.1,9.0,12000.0,21.0,71.0
60,2022-02-02,51,Female,United States,Boston,Platinum,Mixed,Bank Transfer,1020,15.5,6400,1900,420,60,210,50,30,92,98000.0,3266.67,4500.0,2,5.0,Electronics,16,11,540,210,True,True,70,True,40,4.8,6,4,320.0,12.0,5.0,7.0,98000.0,8.0,95.0
61,2023-04-12,29,Male,United States,Austin,Silver,Mobile,Credit Card,210,12.5,1840,420,88,12,64,8,7,18,1260.75,180.11,520.0,22,14.5,Electronics,9,3,55,9,True,True,6,False,3,4.2,1,0,0.0,36.5,2.1,19.0,980.5,22.5,78.0
62,2022-11-30,42,Female,Canada,Toronto,Gold,Desktop,PayPal,410,9.8,3020,860,120,25,110,25,12,32,2890.4,241.7,980.0,68,17.3,Home & Garden,11,5,90,14,True,False,14,True,8,4.6,2,1,120.5,29.0,3.7,21.5,1825.4,18.0,82.5
63,2024-02-18,36,Non-binary,United Kingdom,London,Bronze,Mixed,Debit Card,150,7.2,980,210,45,5,40,9,5,14,740.0,148.0,320.0,15,20.0,Fashion,6,2,30,6,False,True,4,False,2,4.0,0,0,0.0,41.0,2.5,18.0,620.0,12.0,65.5
64,2023-08-22,55,Male,Australia,Sydney,Platinum,Desktop,Digital Wallet,520,11.1,4100,980,210,40,180,28,20,56,6120.5,306.03,1200.0,9,9.8,Electronics,12,6,120,22,True,True,22,True,12,4.5,1,2,240.75,31.5,4.1,16.0,2650.75,11.0,88.0
65,2022-07-14,28,Female,United States,Seattle,Silver,Mobile,Credit Card,230,6.4,1560,345,60,8,50,10,6,15,980.2,163.37,450.0,30,12.0,Books & Media,7,3,70,11,True,False,5,False,4,4.2,0,1,60.0,34.0,2.8,19.5,1150.0,19.5,71.0
66,2023-05-03,41,Male,Germany,Berlin,Gold,Tablet,PayPal,340,10.2,2700,750,140,18,70,15,9,23,1980.0,220.0,760.0,40,16.0,Home & Garden,10,4,80,15,False,True,9,True,5,4.3,1,0,0.0,28.0,3.2,14.0,2100.0,14.0,77.0
67,2024-01-09,33,Female,France,Paris,Bronze,Mobile,Debit Card,120,8.5,860,190,30,3,22,5,3,9,420.0,140.0,180.0,5,25.0,Fashion,5,2,20,3,True,False,2,False,1,4.0,0,0,0.0,33.0,2.0,12.0,520.0,9.0,60.0
68,2022-12-02,50,Male,Italy,Milan,Silver,Desktop,Bank Transfer,260,9.0,1900,520,95,10,60,20,8,18,1840.75,230.09,640.0,48,15.0,Sports & Outdoors,8,4,65,12,True,True,7,False,6,4.4,1,1,75.0,30.0,3.0,17.0,1900.0,16.0,74.0
69,2023-03-27,27,Prefer not to say,Spain,Madrid,Bronze,Mobile,Credit Card,180,6.9,1200,260,50,6,28,7,4,11,710.5,177.63,350.0,12,22.0,Books & Media,6,3,40,5,False,False,3,False,2,4.0,0,0,0.0,42.0,2.2,15.0,740.0,20.0,62.0
70,2024-06-14,38,Male,United States,Denver,Gold,Mixed,PayPal,310,10.8,2550,690,120,15,75,12,11,29,2910.2,264.56,980.0,35,17.3,Electronics,9,4,85,17,True,True,11,True,5,4.1,2,0,0.0,27.0,3.5,13.0,2100.0,13.0,79.0
71,2022-08-19,44,Female,Netherlands,Amsterdam,Silver,Desktop,Debit Card,360,9.6,2900,800,170,22,66,17,10,25,2030.75,203.08,720.0,25,18.0,Home & Garden,10,5,75,14,True,False,9,False,4,4.2,1,0,0.0,33.0,2.9,15.0,1850.0,15.0,70.0
72,2023-09-02,31,Male,Sweden,Stockholm,Bronze,Mobile,Credit Card,200,7.1,1400,300,55,7,30,6,5,13,760.0,152.0,310.0,60,24.0,Fashion,7,2,45,7,False,True,5,False,2,4.0,0,0,0.0,40.0,2.2,14.0,640.0,21.0,63.0
73,2022-03-11,37,Female,United States,New York,Gold,Desktop,Bank Transfer,480,9.9,3600,980,200,35,140,30,14,38,4200.6,300.04,1500.0,10,20.0,Electronics,13,7,110,25,True,True,18,True,9,4.5,3,1,150.0,26.0,4.0,12.0,3600.0,10.0,95.0
74,2024-04-07,22,Male,Singapore,Singapore,Bronze,Mobile,Digital Wallet,90,5.2,520,110,20,2,10,3,2,6,260.0,130.0,180.0,5,30.0,Toys & Games,4,2,15,2,False,True,1,False,0,0.0,0,0,0.0,50.0,1.5,10.0,320.0,28.0,40.0
75,2023-10-25,46,Female,United States,Chicago,Gold,Mixed,Buy Now Pay Later,420,11.9,3200,860,155,22,100,22,15,40,5200.8,346.72,1250.0,18,19.0,Home & Garden,11,6,100,20,True,True,15,True,7,4.3,2,1,90.0,29.0,3.8,16.0,4200.0,16.0,85.0
76,2022-06-18,34,Male,Australia,Melbourne,Silver,Desktop,Credit Card,260,8.9,1900,480,100,9,40,8,7,17,1500.25,214.32,640.0,21,14.0,Sports & Outdoors,8,3,60,10,False,True,6,False,3,4.1,0,0,0.0,33.0,2.6,15.0,900.0,17.0,69.0
77,2023-07-30,39,Male,Brazil,Sao Paulo,Bronze,Mobile,Debit Card,200,7.5,1500,340,65,7,28,9,5,12,900.0,180.0,260.0,44,26.0,Fashion,6,3,40,8,True,False,3,False,1,4.0,0,0,0.0,36.0,2.3,14.0,780.0,23.0,58.0
78,2024-09-11,27,Female,Japan,Tokyo,Bronze,Mobile,PayPal,140,6.2,760,170,36,4,16,4,3,7,420.0,140.0,220.0,7,28.0,Toys & Games,3,2,22,3,False,True,2,False,0,0.0,0,0,0.0,52.0,1.8,11.0,320.0,31.0,42.0
79,2022-10-05,60,Male,United States,San Francisco,Platinum,Desktop,Bank Transfer,560,12.3,4200,1120,230,40,150,35,25,68,9800.4,392.02,2100.0,3,11.0,Electronics,15,9,130,28,True,True,25,True,15,4.7,5,2,320.0,22.0,4.5,10.0,5200.0,8.0,92.0
80,2023-12-01,24,Female,Mexico,Mexico City,Bronze,Mobile,Credit Card,170,6.8,980,210,40,6,22,5,4,9,640.0,160.0,210.0,25,26.0,Food & Beverages,5,2,28,4,False,True,4,False,2,4.0,0,0,0.0,38.0,2.0,13.0,520.0,24.0,54.0
81,2022-05-14,34,Male,United States,Seattle,Gold,Mobile,Credit Card,312,12.4,1987,456,89,12,54,7,9,23,845.75,93.97,420.0,27,15.2,Electronics,7,4,72,14,True,True,6,False,5,4.6,1,0,0.0,38.5,2.7,14.0,1200.35,21.0,78.5
82,2023-11-02,41,Female,Canada,Toronto,Silver,Desktop,PayPal,520,9.8,3200,890,120,20,100,25,12,34,1920.5,160.04,540.0,62,9.6,Home & Garden,9,5,150,28,False,True,12,True,8,4.2,2,1,45.5,34.2,3.1,16.5,2350.2,15.0,82.0
83,2024-02-19,29,Non-binary,United Kingdom,London,Bronze,Mobile,Digital Wallet,210,7.5,980,210,45,5,20,3,4,9,540.0,135.0,210.0,12,18.5,Fashion,4,3,40,9,True,False,4,False,2,3.9,0,0,0.0,29.0,2.5,10.0,860.0,12.0,70.0
84,2022-12-07,52,Female,Germany,Berlin,Gold,Tablet,Debit Card,880,11.2,4500,1120,210,28,150,40,18,48,3870.25,215.01,780.0,3,8.0,Electronics,12,6,210,50,True,True,20,True,14,4.4,3,2,120.75,26.5,4.0,20.0,7200.5,9.0,88.0
85,2023-08-21,33,Male,Australia,Sydney,Silver,Mobile,Credit Card,410,13.1,2100,520,78,15,60,14,7,18,1187.4,169.63,390.0,21,14.7,Sports & Outdoors,8,4,95,18,False,True,9,False,6,4.0,1,0,0.0,31.0,3.2,12.5,2100.75,18.0,74.0
86,2025-03-09,27,Male,India,Mumbai,Bronze,Mobile,Buy Now Pay Later,260,6.5,760,180,25,4,22,5,3,7,410.0,136.67,200.0,45,20.0,Books & Media,5,4,60,12,True,False,3,False,1,4.5,0,0,0.0,42.0,2.1,9.0,420.0,25.0,65.0
87,2022-09-30,46,Female,France,Paris,Platinum,Desktop,Bank Transfer,940,14.6,5200,1490,260,40,190,35,22,75,12840.8,585.49,2100.0,5,6.8,Electronics,11,6,260,65,True,True,25,True,20,4.7,4,3,280.0,22.0,5.2,18.0,22000.5,7.0,92.0
88,2023-04-11,22,Prefer not to say,Spain,Madrid,Bronze,Mobile,Credit Card,150,8.0,520,110,15,2,15,4,2,5,270.25,135.13,200.0,120,60.0,Fashion,3,2,30,6,False,True,2,False,1,4.0,0,0,0.0,46.0,1.8,22.0,980.5,19.0,60.0
89,2024-07-22,38,Male,Italy,Milan,Silver,Tablet,PayPal,410,10.2,1900,420,60,10,40,12,6,15,980.0,163.33,350.0,30,11.5,Home & Garden,6,3,85,17,True,True,7,False,4,4.2,1,1,25.0,35.0,2.9,15.0,3200.0,14.0,72.0
90,2022-03-03,60,Male,United States,New York,Gold,Desktop,Digital Wallet,970,9.4,5100,1330,230,32,180,45,25,92,18450.0,738.0,3200.0,2,4.1,Electronics,13,7,420,92,True,True,30,True,30,4.5,5,4,320.0,21.0,4.6,16.0,75500.0,6.0,94.0
91,2025-01-14,28,Female,Japan,Tokyo,Bronze,Mobile,Debit Card,300,5.9,800,220,40,6,18,6,4,9,520.8,130.2,260.0,14,9.0,Books & Media,4,3,65,11,False,False,5,False,3,4.1,0,0,0.0,28.0,2.0,8.0,1450.0,17.0,68.0
92,2023-06-18,35,Male,Brazil,Sao Paulo,Gold,Mixed,Credit Card,760,12.7,3400,860,135,22,70,23,15,40,7500.0,500.0,1500.0,40,10.0,Toys & Games,10,5,180,40,True,True,18,True,12,4.3,2,2,150.0,25.0,3.0,13.0,6200.0,11.0,76.0
93,2022-08-08,39,Female,Netherlands,Amsterdam,Silver,Desktop,Debit Card,480,10.5,2100,520,90,9,44,9,8,20,2600.4,325.05,1000.0,18,12.0,Home & Garden,7,4,110,22,False,True,10,False,7,4.1,1,1,40.0,30.0,2.4,14.0,3200.0,13.0,69.0
94,2024-10-05,31,Male,South Korea,Seoul,Silver,Mobile,Digital Wallet,430,9.3,1700,410,65,8,25,7,6,14,1900.75,316.78,900.0,9,7.0,Electronics,8,5,120,26,True,False,9,True,5,4.6,1,0,0.0,27.0,3.5,11.0,4200.0,10.0,81.0
